time,open,high,low,close,tick_volume,spread,real_volume,ep_high,ep_low
2022.02.03 23:07:00,1.35953,1.35963,1.35952,1.35956,78,8,0.00000,0.00000,0.00000
2022.02.03 23:06:00,1.35947,1.35954,1.35946,1.35953,79,8,0.00000,0.00000,0.00000
2022.02.03 23:05:00,1.35955,1.35956,1.35947,1.35947,50,9,0.00000,0.00000,0.00000
2022.02.03 23:04:00,1.35957,1.35959,1.35945,1.35955,68,8,0.00000,0.00000,0.00000
2022.02.03 23:03:00,1.35959,1.35968,1.35953,1.35957,109,8,0.00000,1.35959,0.00000
2022.02.03 23:02:00,1.35951,1.35964,1.35947,1.35958,84,8,0.00000,0.00000,0.00000
2022.02.03 23:01:00,1.35910,1.35954,1.35910,1.35951,98,9,0.00000,0.00000,0.00000
2022.02.03 23:00:00,1.35916,1.35920,1.35905,1.35909,80,8,0.00000,0.00000,0.00000
2022.02.03 22:59:00,1.35911,1.35918,1.35906,1.35917,46,8,0.00000,0.00000,0.00000
2022.02.03 22:58:00,1.35887,1.35917,1.35879,1.35911,76,8,0.00000,0.00000,0.00000
2022.02.03 22:57:00,1.35883,1.35887,1.35870,1.35887,68,8,0.00000,0.00000,0.00000
2022.02.03 22:56:00,1.35884,1.35895,1.35877,1.35882,75,8,0.00000,0.00000,0.00000
2022.02.03 22:55:00,1.35854,1.35885,1.35854,1.35883,98,8,0.00000,0.00000,0.00000
2022.02.03 22:54:00,1.35883,1.35883,1.35847,1.35854,68,8,0.00000,0.00000,1.35854
2022.02.03 22:53:00,1.35880,1.35889,1.35878,1.35885,45,8,0.00000,0.00000,0.00000
2022.02.03 22:52:00,1.35887,1.35890,1.35867,1.35880,71,8,0.00000,0.00000,0.00000
2022.02.03 22:51:00,1.35899,1.35899,1.35887,1.35887,31,8,0.00000,0.00000,0.00000
2022.02.03 22:50:00,1.35906,1.35906,1.35889,1.35898,62,8,0.00000,0.00000,0.00000
